testDate,expression,movement,quality,benchmarkPct,pid
03/07/2023,isometric,upper body,pull,,1
04/07/2023,dynamic,agility,acceleration,0.32,1
10/07/2023,dynamic,agility,deceleration,0.867,1
18/07/2023,isometric,jump,take off,,1
20/07/2023,dynamic,upper body,pull,0.8525,1
30/07/2023,isometric,upper body,grapple,,1
31/07/2023,isometric,jump,land,,1
11/08/2023,isometric,sprint,acceleration,,1
18/08/2023,dynamic,agility,deceleration,0.868,1
25/08/2023,dynamic,upper body,push,0.4,1
31/08/2023,isometric,upper body,pull,,1
01/09/2023,dynamic,jump,take off,0.6985,1
05/09/2023,isometric,agility,rotate,,1
07/09/2023,dynamic,jump,take off,0.7085,1
11/09/2023,dynamic,upper body,push,0.388,1
13/09/2023,isometric,upper body,grapple,,1
14/09/2023,isometric,agility,acceleration,0.52,1
20/09/2023,dynamic,sprint,max velocity,0.5845,1
24/09/2023,isometric,agility,rotate,,1
28/09/2023,dynamic,agility,acceleration,0.4305,1
28/09/2023,isometric,sprint,max velocity,,1
29/09/2023,isometric,upper body,pull,,1
18/10/2023,isometric,agility,deceleration,1.038,1
22/10/2023,dynamic,jump,land,0.6615,1
10/11/2023,isometric,jump,take off,,1
12/11/2023,isometric,jump,take off,,1
13/11/2023,dynamic,jump,take off,0.651,1
18/11/2023,dynamic,jump,pre-load,0.5085,1
18/11/2023,isometric,upper body,grapple,,1
20/11/2023,isometric,agility,deceleration,1.038,1
27/11/2023,dynamic,sprint,acceleration,0.4305,1
28/11/2023,isometric,sprint,acceleration,0.52,1
03/12/2023,isometric,upper body,pull,,1
06/12/2023,dynamic,jump,take off,0.64,1
10/12/2023,dynamic,agility,deceleration,0.87,1
10/12/2023,isometric,sprint,acceleration,0.52,1
16/12/2023,dynamic,jump,take off,0.6355,1
20/12/2023,dynamic,upper body,push,0.43,1
22/12/2023,dynamic,upper body,pull,0.87,1
25/12/2023,dynamic,sprint,max velocity,0.634,1
26/12/2023,dynamic,agility,deceleration,0.87,1
28/12/2023,dynamic,jump,take off,0.64,1
02/01/2024,isometric,sprint,max velocity,,1
04/01/2024,isometric,agility,rotate,,1
09/01/2024,dynamic,jump,land,0.69,1
26/01/2024,dynamic,jump,land,0.668,1
29/01/2024,isometric,upper body,pull,,1
31/01/2024,isometric,sprint,max velocity,,1
04/02/2024,dynamic,jump,pre-load,0.53,1
06/02/2024,isometric,upper body,grapple,,1
17/02/2024,dynamic,upper body,push,0.4345,1
12/03/2024,dynamic,jump,pre-load,0.5,1
13/03/2024,dynamic,agility,deceleration,0.89,1
14/03/2024,dynamic,sprint,max velocity,0.637,1
15/03/2024,isometric,upper body,push,0.704,1
17/03/2024,isometric,jump,pre-load,0.52,1
30/03/2024,dynamic,agility,acceleration,0.44,1
31/03/2024,isometric,upper body,pull,,1
04/04/2024,dynamic,sprint,max velocity,0.628,1
11/04/2024,dynamic,sprint,acceleration,0.433,1
13/04/2024,isometric,sprint,max velocity,-0.2,1
14/04/2024,isometric,jump,pre-load,0.52,1
16/04/2024,isometric,agility,deceleration,1.1365,1
19/04/2024,isometric,agility,acceleration,0.52,1
19/04/2024,dynamic,agility,deceleration,0.89,1
25/04/2024,isometric,agility,rotate,,1
08/05/2024,dynamic,upper body,push,0.43,1
10/05/2024,dynamic,sprint,max velocity,0.625,1
12/05/2024,dynamic,sprint,acceleration,0.43,1
20/05/2024,isometric,sprint,acceleration,0.49,1
26/05/2024,dynamic,jump,pre-load,0.4655,1
14/06/2024,isometric,agility,acceleration,0.49,1
15/06/2024,dynamic,jump,land,0.723,1
17/06/2024,dynamic,jump,land,0.723,1
17/06/2024,dynamic,upper body,push,0.43,1
28/06/2024,dynamic,jump,pre-load,0.4655,1
28/06/2024,dynamic,sprint,acceleration,0.436,1
30/06/2024,dynamic,agility,deceleration,0.89,1
08/07/2024,dynamic,jump,take off,0.687,1
12/07/2024,isometric,jump,land,0.42,1
19/07/2024,isometric,upper body,pull,,1
13/08/2024,dynamic,jump,land,0.652,1
19/08/2024,isometric,sprint,acceleration,0.7305,1
23/08/2024,dynamic,upper body,pull,0.855,1
28/08/2024,dynamic,sprint,acceleration,0.428,1
31/08/2024,dynamic,agility,acceleration,0.428,1
16/09/2024,dynamic,sprint,acceleration,0.4955,1
23/09/2024,dynamic,agility,deceleration,0.896,1
05/10/2024,isometric,jump,take off,0.426,1
09/10/2024,dynamic,agility,acceleration,0.498,1
24/10/2024,isometric,jump,pre-load,0.6935,1
02/11/2024,isometric,agility,acceleration,0.677,1
13/11/2024,dynamic,jump,land,0.666,1
13/11/2024,isometric,upper body,push,0.936,1
23/11/2024,isometric,upper body,push,0.936,1
02/12/2024,isometric,agility,deceleration,0.8655,1
17/12/2024,isometric,jump,take off,0.4,1
29/12/2024,dynamic,upper body,push,0.498,1
04/01/2025,isometric,upper body,grapple,0.6705,1
04/01/2025,dynamic,sprint,max velocity,0.663,1
13/01/2025,isometric,agility,rotate,0.6675,1
21/01/2025,dynamic,jump,land,0.7465,1
22/01/2025,isometric,jump,land,0.46,1
23/01/2025,dynamic,jump,pre-load,0.53,1
23/01/2025,dynamic,sprint,acceleration,0.5,1
06/02/2025,isometric,agility,rotate,0.6415,1
08/02/2025,isometric,sprint,acceleration,0.79,1
18/02/2025,dynamic,jump,land,0.745,1
23/02/2025,dynamic,upper body,pull,0.87,1
26/02/2025,dynamic,jump,land,0.745,1
26/02/2025,isometric,agility,rotate,0.6385,1
28/02/2025,isometric,jump,take off,0.3955,1
08/03/2025,dynamic,agility,deceleration,0.88,1
08/03/2025,isometric,sprint,max velocity,0.77,1
25/07/2023,dynamic,upper body,push,0.345,1
28/07/2023,isometric,agility,rotate,,1
02/08/2023,isometric,agility,deceleration,0.781,1
08/08/2023,dynamic,upper body,push,0.37,1
12/08/2023,dynamic,jump,take off,0.7335,1
19/08/2023,dynamic,upper body,pull,0.87,1
04/09/2023,isometric,upper body,push,,1
10/09/2023,dynamic,sprint,max velocity,0.5845,1
16/09/2023,isometric,agility,acceleration,0.52,1
17/09/2023,dynamic,sprint,max velocity,0.5845,1
02/10/2023,dynamic,sprint,max velocity,0.5705,1
05/10/2023,dynamic,agility,acceleration,0.4305,1
05/10/2023,dynamic,sprint,acceleration,0.4305,1
06/10/2023,dynamic,sprint,max velocity,0.5705,1
13/10/2023,isometric,upper body,pull,,1
16/10/2023,dynamic,jump,take off,0.72,1
19/10/2023,dynamic,jump,take off,0.72,1
21/10/2023,dynamic,jump,pre-load,0.564,1
07/11/2023,isometric,sprint,acceleration,0.52,1
09/11/2023,dynamic,upper body,push,0.431,1
15/11/2023,isometric,sprint,acceleration,0.52,1
25/11/2023,dynamic,upper body,push,0.4305,1
05/12/2023,isometric,jump,pre-load,0.52,1
27/12/2023,isometric,jump,pre-load,0.52,1
05/01/2024,isometric,sprint,acceleration,0.52,1
07/01/2024,isometric,sprint,max velocity,,1
08/01/2024,dynamic,upper body,push,0.426,1
16/01/2024,dynamic,agility,deceleration,0.879,1
18/01/2024,isometric,jump,land,,1
19/01/2024,isometric,jump,land,,1
20/01/2024,isometric,upper body,push,0.687,1
28/01/2024,dynamic,agility,deceleration,0.879,1
08/02/2024,dynamic,jump,pre-load,0.53,1
09/02/2024,dynamic,upper body,push,0.4345,1
11/02/2024,dynamic,upper body,push,0.4345,1
11/02/2024,isometric,agility,acceleration,0.52,1
20/02/2024,isometric,agility,acceleration,0.52,1
21/02/2024,dynamic,upper body,pull,0.89,1
23/02/2024,isometric,upper body,grapple,,1
26/02/2024,isometric,sprint,acceleration,0.52,1
